,European Union Emissions Trading System (until 2018),,,, 
Date,Exchange rate EUR/EUR,Exchange rate EUR/USD,Market Currency,Primary Market, 
2010-11-22,1,1.366095455,EUR,, 
2010-11-23,1,1.366095455,EUR,14.83, 
2010-11-24,1,1.366095455,EUR,, 
2010-11-25,1,1.366095455,EUR,, 
2010-11-26,1,1.366095455,EUR,, 
2010-11-29,1,1.366095455,EUR,, 
2010-11-30,1,1.366095455,EUR,14.66, 
2010-12-01,1,1.322013043,EUR,, 
2010-12-02,1,1.322013043,EUR,, 
2010-12-03,1,1.322013043,EUR,, 
2010-12-06,1,1.322013043,EUR,, 
2010-12-07,1,1.322013043,EUR,, 
2010-12-08,1,1.322013043,EUR,, 
2010-12-09,1,1.322013043,EUR,, 
2010-12-10,1,1.322013043,EUR,, 
2010-12-13,1,1.322013043,EUR,, 
2010-12-14,1,1.322013043,EUR,, 
2010-12-15,1,1.322013043,EUR,, 
2010-12-16,1,1.322013043,EUR,, 
2010-12-17,1,1.322013043,EUR,, 
2010-12-20,1,1.322013043,EUR,, 
2010-12-21,1,1.322013043,EUR,, 
2010-12-22,1,1.322013043,EUR,, 
2010-12-23,1,1.322013043,EUR,, 
2010-12-27,1,1.322013043,EUR,, 
2010-12-28,1,1.322013043,EUR,, 
2010-12-29,1,1.322013043,EUR,, 
2010-12-30,1,1.322013043,EUR,, 
2011-01-03,1,1.335966667,EUR,, 
2011-01-04,1,1.335966667,EUR,13.97, 
2011-01-05,1,1.335966667,EUR,, 
2011-01-06,1,1.335966667,EUR,, 
2011-01-07,1,1.335966667,EUR,, 
2011-01-10,1,1.335966667,EUR,, 
2011-01-11,1,1.335966667,EUR,13.95, 
2011-01-12,1,1.335966667,EUR,, 
2011-01-13,1,1.335966667,EUR,, 
2011-01-14,1,1.335966667,EUR,, 
2011-01-17,1,1.335966667,EUR,, 
2011-01-18,1,1.335966667,EUR,14.34, 
2011-01-19,1,1.335966667,EUR,, 
2011-01-20,1,1.335966667,EUR,, 
2011-01-21,1,1.335966667,EUR,, 
2011-01-24,1,1.335966667,EUR,, 
2011-01-25,1,1.335966667,EUR,14.29, 
2011-01-26,1,1.335966667,EUR,, 
2011-01-27,1,1.335966667,EUR,, 
2011-01-28,1,1.335966667,EUR,, 
2011-01-31,1,1.335966667,EUR,, 
2011-02-01,1,1.364895,EUR,, 
2011-02-02,1,1.364895,EUR,, 
2011-02-03,1,1.364895,EUR,, 
2011-02-04,1,1.364895,EUR,, 
